experiment,A.1 Expected Annual Damage,A.1 Dike Investment Costs,A.1_Expected Number of Deaths,A.2 Expected Annual Damage,A.2 Dike Investment Costs,A.2_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
205,2985925543.928269,0,1.9316477723969152,15329176.563137397,0,0.01410132477614917,0.0,0.0
206,53594864.64787638,0,0.04010185410824649,113573278.60662499,0,0.10985550064894742,0.0,0.0
207,2442316504.5696354,0,1.8952146695885794,0.0,0,0.0,0.0,0.0
208,0.0,0,0.0,73434097.40352231,0,0.07791738241650199,0.0,0.0
209,0.0,0,0.0,5363869.164148973,0,0.005041120744516618,0.0,0.0
210,348873092.29367876,0,0.18306463578864215,20698535.82211765,0,0.01477355764421269,0.0,0.0
211,316213091.4180727,0,0.1947176612461654,349458900.6416841,0,0.276756763186652,0.0,0.0
212,0.0,0,0.0,17065955.684696313,0,0.015844550882937625,0.0,0.0
213,2799202931.8965974,0,1.9483168315857045,38864868.77050556,0,0.0366013447063276,0.0,0.0
214,2631808996.6504164,0,1.9288260271347022,0.0,0,0.0,0.0,0.0
215,58536768.83663978,0,0.03950656877228886,0.0,0,0.0,0.0,0.0
216,0.0,0,0.0,74833199.79778124,0,0.061276014960853664,0.0,0.0
217,0.0,0,0.0,60247667.416349664,0,0.06053191763713807,0.0,0.0
218,0.0,0,0.0,139343906.0194401,0,0.13760745439160876,0.0,0.0
219,15165561.483078875,0,0.013045045074146215,0.0,0,0.0,0.0,0.0
220,0.0,0,0.0,32849097.47723359,0,0.02837535247836084,0.0,0.0
221,425163569.09216374,0,0.30527582958187427,14484838.444757495,0,0.014010225906822733,0.0,0.0
222,19058390.225244235,0,0.013707459716438965,180607232.67900777,0,0.16423305560685653,0.0,0.0
223,0.0,0,0.0,209343373.50937104,0,0.2139403077040913,0.0,0.0
224,2634576151.1971207,0,1.9407161581748973,4189585.144151166,0,0.00439739254936952,0.0,0.0
225,2686863629.1947904,0,1.9330365403602556,0.0,0,0.0,0.0,0.0
226,2896167846.5896363,0,1.9074073111277003,33130850.926473416,0,0.029091209607824547,0.0,0.0
227,95693881.51304181,0,0.058762664728448114,18509716.444026217,0,0.015532257848425343,0.0,0.0
228,174809891.88431624,0,0.10956563205865547,5454670.309375462,0,0.004609119695894046,0.0,0.0
229,3126177953.117284,0,1.927770840308181,0.0,0,0.0,0.0,0.0
230,423292936.5045394,0,0.31035302183864166,0.0,0,0.0,0.0,0.0
231,3947144649.4520264,0,1.9371797401648936,5571661.114008086,0,0.003655049413274371,0.0,0.0
232,3432683752.34937,0,1.9322914620441156,0.0,0,0.0,0.0,0.0
233,17388035.9010652,0,0.013937341228508919,214106443.69019195,0,0.2151083233937262,0.0,0.0
234,0.0,0,0.0,29453884.56761136,0,0.023120838746906798,0.0,0.0
235,2628501935.492156,0,1.880270729027544,0.0,0,0.0,0.0,0.0
236,15104675.978632813,0,0.013926466955186389,297434136.2255224,0,0.3373086039469274,0.0,0.0
237,63927754.02329773,0,0.04138790264238406,132930361.50126159,0,0.11146551434463503,0.0,0.0
238,271393877.7776685,0,0.2108500051823904,205920258.71842614,0,0.20787821502437637,0.0,0.0
239,3621494714.9272995,0,1.9209105150553052,0.0,0,0.0,0.0,0.0
240,2289326310.9982185,0,1.9483168315857045,0.0,0,0.0,0.0,0.0
241,728084769.565118,0,0.4667847500255413,0.0,0,0.0,0.0,0.0
242,2693236705.505644,0,1.9388007855744323,12775217.020742785,0,0.012499728600774099,0.0,0.0
243,156419651.42968956,0,0.10956563205865547,99792753.84812114,0,0.09212956750015885,0.0,0.0
244,0.0,0,0.0,222025549.481723,0,0.2156512982708298,0.0,0.0
245,2336515279.6890707,0,1.933980695481789,2960649.703302934,0,0.0031184158214110445,0.0,0.0
246,183346208.37255767,0,0.10463705312253688,377707467.33257395,0,0.27405752498981784,0.0,0.0
247,0.0,0,0.0,169000158.57497713,0,0.21372710994020483,0.0,0.0
248,0.0,0,0.0,16563986.113164727,0,0.015871191531207,0.0,0.0
249,3622538828.398555,0,1.9216076264375355,54179297.05350344,0,0.04019145643198038,0.0,0.0
250,2492703011.804344,0,1.9445559951504907,0.0,0,0.0,0.0,0.0
251,0.0,0,0.0,13596780.747557938,0,0.01602790115944603,0.0,0.0
252,169347003.1153906,0,0.1074325150039858,0.0,0,0.0,0.0,0.0
